facility_id,facility_name,address_line_1,address_line_2,city,state_code,postal_code,country,latitude,longitude,sqft,year_built,occupancy_status,property_type,owner_name,manager_name,contact_phone,contact_email,lease_start_date,lease_end_date,monthly_rent,security_deposit,tax_id,gl_account,cost_center,region_code,district_code,market_area,building_class,floor_count,unit_count,parking_spaces,hvac_type,roof_type,sprinkler_system,fire_alarm,elevator_count,accessibility_compliant,energy_star_rating,last_inspection_date,next_inspection_date,insurance_carrier,policy_number,premium_amount,coverage_start,coverage_end,vendor_id,contract_number,service_type,billing_frequency,payment_terms,currency_code,exchange_rate,created_date,modified_date,created_by,modified_by,is_active,status_reason,notes,external_ref_id,legacy_system_id,import_batch_id,data_source_system,record_version,effective_date,expiration_date,approval_status,approved_by,approved_date,rejection_reason,workflow_state,priority_level,risk_score,compliance_flag,audit_trail_id,internal_row_id,etl_load_timestamp,source_system_code,raw_json_payload,checksum_hash,partition_key,shard_id
facility_id_0,facility_name_0,address_line_1_0,address_line_2_0,city_0,state_code_0,postal_code_0,country_0,latitude_0,longitude_0,sqft_0,year_built_0,occupancy_status_0,property_type_0,owner_name_0,manager_name_0,contact_phone_0,contact_email_0,lease_start_date_0,lease_end_date_0,monthly_rent_0,security_deposit_0,tax_id_0,gl_account_0,cost_center_0,region_code_0,district_code_0,market_area_0,building_class_0,floor_count_0,unit_count_0,parking_spaces_0,hvac_type_0,roof_type_0,sprinkler_system_0,fire_alarm_0,elevator_count_0,accessibility_compliant_0,energy_star_rating_0,last_inspection_date_0,next_inspection_date_0,insurance_carrier_0,policy_number_0,premium_amount_0,coverage_start_0,coverage_end_0,vendor_id_0,contract_number_0,service_type_0,billing_frequency_0,payment_terms_0,currency_code_0,exchange_rate_0,created_date_0,modified_date_0,created_by_0,modified_by_0,is_active_0,status_reason_0,notes_0,external_ref_id_0,legacy_system_id_0,import_batch_id_0,data_source_system_0,record_version_0,effective_date_0,expiration_date_0,approval_status_0,approved_by_0,approved_date_0,rejection_reason_0,workflow_state_0,priority_level_0,risk_score_0,compliance_flag_0,audit_trail_id_0,internal_row_id_0,etl_load_timestamp_0,source_system_code_0,raw_json_payload_0,checksum_hash_0,partition_key_0,shard_id_0
facility_id_1,facility_name_1,address_line_1_1,address_line_2_1,city_1,state_code_1,postal_code_1,country_1,latitude_1,longitude_1,sqft_1,year_built_1,occupancy_status_1,property_type_1,owner_name_1,manager_name_1,contact_phone_1,contact_email_1,lease_start_date_1,lease_end_date_1,monthly_rent_1,security_deposit_1,tax_id_1,gl_account_1,cost_center_1,region_code_1,district_code_1,market_area_1,building_class_1,floor_count_1,unit_count_1,parking_spaces_1,hvac_type_1,roof_type_1,sprinkler_system_1,fire_alarm_1,elevator_count_1,accessibility_compliant_1,energy_star_rating_1,last_inspection_date_1,next_inspection_date_1,insurance_carrier_1,policy_number_1,premium_amount_1,coverage_start_1,coverage_end_1,vendor_id_1,contract_number_1,service_type_1,billing_frequency_1,payment_terms_1,currency_code_1,exchange_rate_1,created_date_1,modified_date_1,created_by_1,modified_by_1,is_active_1,status_reason_1,notes_1,external_ref_id_1,legacy_system_id_1,import_batch_id_1,data_source_system_1,record_version_1,effective_date_1,expiration_date_1,approval_status_1,approved_by_1,approved_date_1,rejection_reason_1,workflow_state_1,priority_level_1,risk_score_1,compliance_flag_1,audit_trail_id_1,internal_row_id_1,etl_load_timestamp_1,source_system_code_1,raw_json_payload_1,checksum_hash_1,partition_key_1,shard_id_1
facility_id_2,facility_name_2,address_line_1_2,address_line_2_2,city_2,state_code_2,postal_code_2,country_2,latitude_2,longitude_2,sqft_2,year_built_2,occupancy_status_2,property_type_2,owner_name_2,manager_name_2,contact_phone_2,contact_email_2,lease_start_date_2,lease_end_date_2,monthly_rent_2,security_deposit_2,tax_id_2,gl_account_2,cost_center_2,region_code_2,district_code_2,market_area_2,building_class_2,floor_count_2,unit_count_2,parking_spaces_2,hvac_type_2,roof_type_2,sprinkler_system_2,fire_alarm_2,elevator_count_2,accessibility_compliant_2,energy_star_rating_2,last_inspection_date_2,next_inspection_date_2,insurance_carrier_2,policy_number_2,premium_amount_2,coverage_start_2,coverage_end_2,vendor_id_2,contract_number_2,service_type_2,billing_frequency_2,payment_terms_2,currency_code_2,exchange_rate_2,created_date_2,modified_date_2,created_by_2,modified_by_2,is_active_2,status_reason_2,notes_2,external_ref_id_2,legacy_system_id_2,import_batch_id_2,data_source_system_2,record_version_2,effective_date_2,expiration_date_2,approval_status_2,approved_by_2,approved_date_2,rejection_reason_2,workflow_state_2,priority_level_2,risk_score_2,compliance_flag_2,audit_trail_id_2,internal_row_id_2,etl_load_timestamp_2,source_system_code_2,raw_json_payload_2,checksum_hash_2,partition_key_2,shard_id_2
facility_id_3,facility_name_3,address_line_1_3,address_line_2_3,city_3,state_code_3,postal_code_3,country_3,latitude_3,longitude_3,sqft_3,year_built_3,occupancy_status_3,property_type_3,owner_name_3,manager_name_3,contact_phone_3,contact_email_3,lease_start_date_3,lease_end_date_3,monthly_rent_3,security_deposit_3,tax_id_3,gl_account_3,cost_center_3,region_code_3,district_code_3,market_area_3,building_class_3,floor_count_3,unit_count_3,parking_spaces_3,hvac_type_3,roof_type_3,sprinkler_system_3,fire_alarm_3,elevator_count_3,accessibility_compliant_3,energy_star_rating_3,last_inspection_date_3,next_inspection_date_3,insurance_carrier_3,policy_number_3,premium_amount_3,coverage_start_3,coverage_end_3,vendor_id_3,contract_number_3,service_type_3,billing_frequency_3,payment_terms_3,currency_code_3,exchange_rate_3,created_date_3,modified_date_3,created_by_3,modified_by_3,is_active_3,status_reason_3,notes_3,external_ref_id_3,legacy_system_id_3,import_batch_id_3,data_source_system_3,record_version_3,effective_date_3,expiration_date_3,approval_status_3,approved_by_3,approved_date_3,rejection_reason_3,workflow_state_3,priority_level_3,risk_score_3,compliance_flag_3,audit_trail_id_3,internal_row_id_3,etl_load_timestamp_3,source_system_code_3,raw_json_payload_3,checksum_hash_3,partition_key_3,shard_id_3
facility_id_4,facility_name_4,address_line_1_4,address_line_2_4,city_4,state_code_4,postal_code_4,country_4,latitude_4,longitude_4,sqft_4,year_built_4,occupancy_status_4,property_type_4,owner_name_4,manager_name_4,contact_phone_4,contact_email_4,lease_start_date_4,lease_end_date_4,monthly_rent_4,security_deposit_4,tax_id_4,gl_account_4,cost_center_4,region_code_4,district_code_4,market_area_4,building_class_4,floor_count_4,unit_count_4,parking_spaces_4,hvac_type_4,roof_type_4,sprinkler_system_4,fire_alarm_4,elevator_count_4,accessibility_compliant_4,energy_star_rating_4,last_inspection_date_4,next_inspection_date_4,insurance_carrier_4,policy_number_4,premium_amount_4,coverage_start_4,coverage_end_4,vendor_id_4,contract_number_4,service_type_4,billing_frequency_4,payment_terms_4,currency_code_4,exchange_rate_4,created_date_4,modified_date_4,created_by_4,modified_by_4,is_active_4,status_reason_4,notes_4,external_ref_id_4,legacy_system_id_4,import_batch_id_4,data_source_system_4,record_version_4,effective_date_4,expiration_date_4,approval_status_4,approved_by_4,approved_date_4,rejection_reason_4,workflow_state_4,priority_level_4,risk_score_4,compliance_flag_4,audit_trail_id_4,internal_row_id_4,etl_load_timestamp_4,source_system_code_4,raw_json_payload_4,checksum_hash_4,partition_key_4,shard_id_4
facility_id_5,facility_name_5,address_line_1_5,address_line_2_5,city_5,state_code_5,postal_code_5,country_5,latitude_5,longitude_5,sqft_5,year_built_5,occupancy_status_5,property_type_5,owner_name_5,manager_name_5,contact_phone_5,contact_email_5,lease_start_date_5,lease_end_date_5,monthly_rent_5,security_deposit_5,tax_id_5,gl_account_5,cost_center_5,region_code_5,district_code_5,market_area_5,building_class_5,floor_count_5,unit_count_5,parking_spaces_5,hvac_type_5,roof_type_5,sprinkler_system_5,fire_alarm_5,elevator_count_5,accessibility_compliant_5,energy_star_rating_5,last_inspection_date_5,next_inspection_date_5,insurance_carrier_5,policy_number_5,premium_amount_5,coverage_start_5,coverage_end_5,vendor_id_5,contract_number_5,service_type_5,billing_frequency_5,payment_terms_5,currency_code_5,exchange_rate_5,created_date_5,modified_date_5,created_by_5,modified_by_5,is_active_5,status_reason_5,notes_5,external_ref_id_5,legacy_system_id_5,import_batch_id_5,data_source_system_5,record_version_5,effective_date_5,expiration_date_5,approval_status_5,approved_by_5,approved_date_5,rejection_reason_5,workflow_state_5,priority_level_5,risk_score_5,compliance_flag_5,audit_trail_id_5,internal_row_id_5,etl_load_timestamp_5,source_system_code_5,raw_json_payload_5,checksum_hash_5,partition_key_5,shard_id_5
facility_id_6,facility_name_6,address_line_1_6,address_line_2_6,city_6,state_code_6,postal_code_6,country_6,latitude_6,longitude_6,sqft_6,year_built_6,occupancy_status_6,property_type_6,owner_name_6,manager_name_6,contact_phone_6,contact_email_6,lease_start_date_6,lease_end_date_6,monthly_rent_6,security_deposit_6,tax_id_6,gl_account_6,cost_center_6,region_code_6,district_code_6,market_area_6,building_class_6,floor_count_6,unit_count_6,parking_spaces_6,hvac_type_6,roof_type_6,sprinkler_system_6,fire_alarm_6,elevator_count_6,accessibility_compliant_6,energy_star_rating_6,last_inspection_date_6,next_inspection_date_6,insurance_carrier_6,policy_number_6,premium_amount_6,coverage_start_6,coverage_end_6,vendor_id_6,contract_number_6,service_type_6,billing_frequency_6,payment_terms_6,currency_code_6,exchange_rate_6,created_date_6,modified_date_6,created_by_6,modified_by_6,is_active_6,status_reason_6,notes_6,external_ref_id_6,legacy_system_id_6,import_batch_id_6,data_source_system_6,record_version_6,effective_date_6,expiration_date_6,approval_status_6,approved_by_6,approved_date_6,rejection_reason_6,workflow_state_6,priority_level_6,risk_score_6,compliance_flag_6,audit_trail_id_6,internal_row_id_6,etl_load_timestamp_6,source_system_code_6,raw_json_payload_6,checksum_hash_6,partition_key_6,shard_id_6
facility_id_7,facility_name_7,address_line_1_7,address_line_2_7,city_7,state_code_7,postal_code_7,country_7,latitude_7,longitude_7,sqft_7,year_built_7,occupancy_status_7,property_type_7,owner_name_7,manager_name_7,contact_phone_7,contact_email_7,lease_start_date_7,lease_end_date_7,monthly_rent_7,security_deposit_7,tax_id_7,gl_account_7,cost_center_7,region_code_7,district_code_7,market_area_7,building_class_7,floor_count_7,unit_count_7,parking_spaces_7,hvac_type_7,roof_type_7,sprinkler_system_7,fire_alarm_7,elevator_count_7,accessibility_compliant_7,energy_star_rating_7,last_inspection_date_7,next_inspection_date_7,insurance_carrier_7,policy_number_7,premium_amount_7,coverage_start_7,coverage_end_7,vendor_id_7,contract_number_7,service_type_7,billing_frequency_7,payment_terms_7,currency_code_7,exchange_rate_7,created_date_7,modified_date_7,created_by_7,modified_by_7,is_active_7,status_reason_7,notes_7,external_ref_id_7,legacy_system_id_7,import_batch_id_7,data_source_system_7,record_version_7,effective_date_7,expiration_date_7,approval_status_7,approved_by_7,approved_date_7,rejection_reason_7,workflow_state_7,priority_level_7,risk_score_7,compliance_flag_7,audit_trail_id_7,internal_row_id_7,etl_load_timestamp_7,source_system_code_7,raw_json_payload_7,checksum_hash_7,partition_key_7,shard_id_7
facility_id_8,facility_name_8,address_line_1_8,address_line_2_8,city_8,state_code_8,postal_code_8,country_8,latitude_8,longitude_8,sqft_8,year_built_8,occupancy_status_8,property_type_8,owner_name_8,manager_name_8,contact_phone_8,contact_email_8,lease_start_date_8,lease_end_date_8,monthly_rent_8,security_deposit_8,tax_id_8,gl_account_8,cost_center_8,region_code_8,district_code_8,market_area_8,building_class_8,floor_count_8,unit_count_8,parking_spaces_8,hvac_type_8,roof_type_8,sprinkler_system_8,fire_alarm_8,elevator_count_8,accessibility_compliant_8,energy_star_rating_8,last_inspection_date_8,next_inspection_date_8,insurance_carrier_8,policy_number_8,premium_amount_8,coverage_start_8,coverage_end_8,vendor_id_8,contract_number_8,service_type_8,billing_frequency_8,payment_terms_8,currency_code_8,exchange_rate_8,created_date_8,modified_date_8,created_by_8,modified_by_8,is_active_8,status_reason_8,notes_8,external_ref_id_8,legacy_system_id_8,import_batch_id_8,data_source_system_8,record_version_8,effective_date_8,expiration_date_8,approval_status_8,approved_by_8,approved_date_8,rejection_reason_8,workflow_state_8,priority_level_8,risk_score_8,compliance_flag_8,audit_trail_id_8,internal_row_id_8,etl_load_timestamp_8,source_system_code_8,raw_json_payload_8,checksum_hash_8,partition_key_8,shard_id_8
facility_id_9,facility_name_9,address_line_1_9,address_line_2_9,city_9,state_code_9,postal_code_9,country_9,latitude_9,longitude_9,sqft_9,year_built_9,occupancy_status_9,property_type_9,owner_name_9,manager_name_9,contact_phone_9,contact_email_9,lease_start_date_9,lease_end_date_9,monthly_rent_9,security_deposit_9,tax_id_9,gl_account_9,cost_center_9,region_code_9,district_code_9,market_area_9,building_class_9,floor_count_9,unit_count_9,parking_spaces_9,hvac_type_9,roof_type_9,sprinkler_system_9,fire_alarm_9,elevator_count_9,accessibility_compliant_9,energy_star_rating_9,last_inspection_date_9,next_inspection_date_9,insurance_carrier_9,policy_number_9,premium_amount_9,coverage_start_9,coverage_end_9,vendor_id_9,contract_number_9,service_type_9,billing_frequency_9,payment_terms_9,currency_code_9,exchange_rate_9,created_date_9,modified_date_9,created_by_9,modified_by_9,is_active_9,status_reason_9,notes_9,external_ref_id_9,legacy_system_id_9,import_batch_id_9,data_source_system_9,record_version_9,effective_date_9,expiration_date_9,approval_status_9,approved_by_9,approved_date_9,rejection_reason_9,workflow_state_9,priority_level_9,risk_score_9,compliance_flag_9,audit_trail_id_9,internal_row_id_9,etl_load_timestamp_9,source_system_code_9,raw_json_payload_9,checksum_hash_9,partition_key_9,shard_id_9
